MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
MIRANDA DO NORTE;SP;3,000000;1,000000;;21886;15;0,733000;0,000183;0,030750;0,020000;4
MIRANDIBA ;MT;2,000000;2,000000;;13214;10;0,676000;0,000303;0,808915;1,070000;141
MIRANDOPOLIS;RN;1,000000;5,000000;4,000000;2403;5;0,646000;0,004161;0,394091;2,960000;71
MIRANGABA ;SP;2,000000;2,000000;;2058;5;0,731000;0,001944;0,327017;4,550000;94
MIRANORTE ;PI;2,000000;2,000000;2,000000;4025;5;0,541000;0,001491;0,725714;2,240000;90
MIRANTE ;MA;1,000000;1,000000;;15292;10;0,588000;0,000131;0,078538;0,030000;5
MIRANTE DA SERRA;BA;3,000000;2,000000;1,000000;30438;15;0,716000;0,000197;0,129115;0,060000;18
MIRANTE DO PARANAPANEMA ;RN;3,000000;2,000000;3,000000;6984;10;0,608000;0,001145;0,135596;0,060000;4
MIRASSOL D'OESTE;MG;2,000000;4,000000;3,000000;10146;10;0,614000;0,000887;0,156022;0,080000;8
MIRASSOLANDIA ;SC;;1,000000;1,000000;6258;10;0,737000;0,000320;0,643496;2,030000;127
MIRIM DOCE;PR;2,000000;;;6718;10;0,668000;0,000298;0,109259;0,130000;9
MIRINZAL;SP;1,000000;2,000000;1,000000;13107;10;0,702000;0,000305;0,051347;0,100000;13
MISSAL;MG;4,000000;1,000000;1,000000;7240;10;0,678000;0,000829;0,218646;0,300000;22
MISSAO VELHA;PR;1,000000;1,000000;1,000000;5855;10;0,690000;0,000512;0,125363;0,200000;12
MOCAJUBA;SP;2,000000;2,000000;1,000000;5438;10;0,724000;0,000919;0,123759;0,330000;18
MOCOCA;PR;9,000000;7,000000;7,000000;4744;5;0,710000;0,004848;0,154722;1,860000;88
MODELO;SP;2,000000;1,000000;1,000000;4596;5;0,720000;0,000870;0,146432;1,890000;87
MOEDA ;MG;;1,000000;1,000000;4945;5;0,724000;0,000404;0,320121;4,250000;210
MOEMA ;SC;2,000000;4,000000;1,000000;2636;5;0,789000;0,002656;1,527693;31,140000;821
MOGEIRO ;GO;1,000000;1,000000;;18257;10;0,701000;0,000110;0,199759;0,380000;69
MOGI DAS CRUZES ;PI;35,000000;44,000000;36,000000;5684;10;0,545000;0,020232;0,513899;0,080000;5
MOGI-MIRIM;RJ;14,000000;13,000000;9,000000;25504;15;0,764000;0,001412;0,391507;0,460000;117
MOIPORA ;RN;1,000000;1,000000;;3154;5;0,640000;0,000634;0,300254;2,150000;68
MOJUI DOS CAMPOS;SE;2,000000;1,000000;1,000000;11332;10;0,583000;0,000353;4,060713;1,230000;139
MOMBACA ;AP;;1,000000;3,000000;4562;5;0,733000;0,000877;0,256686;3,620000;165
MOMBUCA ;PE;;1,000000;1,000000;6961;10;0,609000;0,000287;0,876742;0,410000;29
MONCOES ;SP;;;1,000000;25472;15;0,770000;0,000039;0,026421;0,030000;8
MONDAI;RN;3,000000;4,000000;2,000000;18909;10;0,665000;0,000476;0,050082;0,060000;11
MONGAGUA;SP;;5,000000;5,000000;17214;10;0,743000;0,000581;0,039096;0,130000;22
MONSENHOR HIPOLITO;SP;1,000000;1,000000;;8147;10;0,740000;0,000245;0,082607;0,270000;22
MONSENHOR PAULO ;AL;1,000000;3,000000;2,000000;50161;15;0,721000;0,000120;0,015211;0,010000;5
MONSENHOR TABOSA;MG;2,000000;2,000000;;3692;5;0,640000;0,001083;0,428765;3,070000;113
MONTALVANIA ;RO;2,000000;2,000000;1,000000;7111;10;0,596000;0,000703;1,096189;0,410000;29
MONTANHA;MG;1,000000;4,000000;4,000000;5427;10;0,715000;0,001658;0,291690;0,680000;37
MONTAURI;SC;1,000000;;;42413;15;0,662000;0,000024;0,094947;0,010000;4
MONTE ALEGRE;RJ;1,000000;4,000000;6,000000;16321;10;0,703000;0,000674;0,611788;1,200000;196
MONTE ALEGRE DE GOIAS ;BA;1,000000;1,000000;1,000000;1766;5;0,604000;0,001699;2,225368;11,930000;211
MONTE ALEGRE DE MINAS ;CE;3,000000;2,000000;2,000000;5623;10;0,610000;0,001245;0,406722;0,190000;11
MONTE ALEGRE DE SERGIPE ;PI;1,000000;1,000000;;7787;10;0,563000;0,000257;0,375112;0,080000;6
MONTE ALEGRE DO PIAUI ;BA;1,000000;1,000000;;19864;10;0,708000;0,000101;0,197845;0,420000;83
MONTE ALEGRE DO SUL ;MG;;3,000000;2,000000;8342;10;0,699000;0,000599;0,189763;0,350000;29
MONTE ALTO;PA;4;9;7;5109;10;0,599000;0,003915;0,361519;0,140000;7
MONTE APRAZIVEL ;BA;2,000000;3,000000;5,000000;3999;5;0,538000;0,002501;0,982746;2,950000;118
MONTE AZUL;SC;2,000000;3,000000;2,000000;30235;15;0,777000;0,000232;0,133190;0,200000;60
MONTE AZUL PAULISTA ;PA;2;3;4;2764;5;0,597000;0,003256;0,668234;3,380000;93
MONTE BELO DO SUL ;SP;2,000000;1,000000;;8573;10;0,753000;0,000350;0,078502;0,310000;27
MONTE CARLO ;RJ;3,000000;2,000000;;20029;15;0,709000;0,000250;0,498527;0,190000;38
MONTE CARMELO ;BA;6,000000;6,000000;4,000000;3102;5;0,576000;0,005158;1,266925;5,360000;166
MONTE DO CARMO;SP;1,000000;1,000000;;10206;10;0,743000;0,000196;0,065942;0,230000;23
MONTE FORMOSO ;SP;1,000000;1,000000;;18602;10;0,788000;0,000108;0,036179;0,220000;41
MONTE MOR ;GO;2,000000;4,000000;5,000000;47441;15;0,745000;0,000232;0,076874;0,060000;28
MONTE SANTO ;AL;1,000000;4,000000;4,000000;2363;5;0,566000;0,003809;0,322895;1,250000;30
MONTE SANTO DE MINAS;RN;3,000000;8,000000;3,000000;3454;5;0,617000;0,004053;0,274175;1,630000;56
MONTE SIAO;SC;3,000000;4,000000;3,000000;19864;10;0,690000;0,000503;0,202729;0,330000;66
MONTEIRO;MG;3,000000;4,000000;4,000000;4062;5;0,618000;0,002708;0,389710;2,340000;95
MONTEIRO LOBATO ;BA;;2,000000;1,000000;8156;10;0,562000;0,000368;0,481854;0,100000;8
MONTEIROPOLIS ;BA;1,000000;1,000000;;18602;10;0,578000;0,000108;0,211268;0,060000;11
MONTENEGRO;SE;7,000000;11,000000;6,000000;16861;10;0,599000;0,001423;2,729138;1,080000;182
MONTES ALTOS;SE;1,000000;1,000000;;8359;10;0,587000;0,000239;5,504965;1,780000;149
MONTES CLAROS ;PR;26,000000;49,000000;19,000000;3699;5;0,708000;0,025412;0,198432;2,350000;87
MONTES CLAROS DE GOIAS;PB;1,000000;2,000000;2,000000;12653;10;0,642000;0,000395;0,101873;0,080000;10
MONTEZUMA ;PB;1,000000;1,000000;;13663;10;0,585000;0,000146;0,094342;0,030000;4
MONTIVIDIU;GO;2,000000;4,000000;3,000000;5752;10;0,626000;0,001565;0,634040;0,390000;22
MONTIVIDIU DO NORTE ;PR;1,000000;;;45136;15;0,719000;0,000022;0,016262;0,010000;5
MORADA NOVA ;MG;3,000000;4,000000;3,000000;9081;10;0,618000;0,001101;0,174320;0,090000;8
MORADA NOVA DE MINAS;RS;2,000000;2,000000;1,000000;13014;10;0,649000;0,000384;0,010911;0,010000;1
MORAUJO ;AM;1,000000;2,000000;;6554;10;0,614000;0,000458;0,029448;0,010000;1
MOREILANDIA ;PB;2,000000;2,000000;;2973;5;0,543000;0,001345;0,433569;1,360000;40
MORENO;PE;1,000000;4,000000;3,000000;10972;10;0,487000;0,000729;0,556234;0,030000;3
MORRINHOS ;PR;2,000000;8,000000;6,000000;19311;10;0,751000;0,000829;0,038009;0,140000;27
MORRO AGUDO ;SP;5,000000;4,000000;5,000000;34515;15;0,739000;0,000406;0,019499;0,010000;3
MORRO DO CHAPEU ;MG;;3,000000;4,000000;9910;10;0,642000;0,000706;0,159738;0,130000;13
MORRO DO PILAR;RJ;1,000000;1,000000;;2506;5;0,753000;0,000798;3,984437;64,310000;1612
MORRO GRANDE;PR;2,000000;1,000000;;18226;10;0,688000;0,000165;0,040272;0,060000;11
MORRO REDONDO ;MG;2,000000;;;45220;15;0,689000;0,000044;0,035007;0,010000;5
MORRO REUTER;MG;3,000000;1,000000;;16642;10;0,697000;0,000240;0,095121;0,170000;28
MORUNGABA ;PR;2,000000;5,000000;3,000000;56583;15;0,716000;0,000177;0,012972;0,010000;6
MOSSAMEDES;AC;1,000000;1,000000;1,000000;5351;10;0,551000;0,000561;0,044851;0,010000;1
MOSSORO ;RS;6,000000;25,000000;15,000000;13510;10;0,655000;0,003405;0,010511;0,010000;1
MOSTARDAS ;BA;1,000000;2,000000;3,000000;9581;10;0,566000;0,000626;0,410187;0,090000;9
MOTUCA;BA;2,000000;1,000000;;7307;10;0,599000;0,000411;0,537840;0,210000;15
MOZARLANDIA ;MG;1,000000;3,000000;4,000000;13087;10;0,675000;0,000611;0,120960;0,160000;21
MUANA ;ES;;2,000000;2,000000;13734;10;0,657000;0,000291;0,151303;0,150000;21
MUCAMBO ;MG;2,000000;2,000000;;15503;10;0,684000;0,000258;0,102109;0,150000;23
MUCUGE;AL;1,000000;2,000000;1,000000;6681;10;0,577000;0,000599;0,114204;0,030000;2
MUCUM ;GO;1,000000;1,000000;2,000000;12901;10;0,691000;0,000310;0,282691;0,470000;61
MUCURI;AM;2,000000;8,000000;4,000000;3494;5;0,498000;0,004007;0,055238;0,110000;4
MUCURICI;PA;;1;1;9363;10;0,668000;0,000214;0,197266;0,230000;22
MUITOS CAPOES ;SP;2,000000;;;18261;10;0,677000;0,000110;0,036854;0,050000;9
MULUNGU ;SP;3,000000;3,000000;;5948;10;0,771000;0,001009;0,113147;0,560000;33
MULUNGU DO MORRO;SC;1,000000;1,000000;;21586;15;0,768000;0,000093;0,186556;0,240000;52
MUNDO NOVO;MS;3,000000;7,000000;7,000000;14036;10;0,736000;0,001211;0,094685;0,290000;41
MUNHOZ;PA;1;1;1;7378;10;0,570000;0,000407;0,250339;0,060000;4
MUNHOZ DE MELO;CE;2,000000;1,000000;;48022;15;0,686000;0,000062;0,047624;0,010000;5
MUQUEM DO SAO FRANCISCO ;BA;2,000000;1,000000;;20393;15;0,621000;0,000147;0,192713;0,010000;2
MURIBECA;CE;1,000000;2,000000;;11220;10;0,659000;0,000267;0,203832;0,210000;24
MURICI;MA;;3,000000;3,000000;7775;10;0,550000;0,000772;0,154469;0,030000;2
MURITIBA;SP;1,000000;4,000000;3,000000;16511;10;0,752000;0,000485;0,040761;0,160000;26
MUTUIPE ;ES;1,000000;2,000000;1,000000;3064;5;0,696000;0,001305;0,678198;7,380000;226
MUTUM ;RS;2,000000;4,000000;2,000000;2702;5;0,593000;0,002961;0,052554;0,260000;7
MUTUNOPOLIS ;BA;1,000000;1,000000;;38883;15;0,774000;0,000051;0,101072;0,140000;54
NANTES;SC;1,000000;1,000000;;20617;15;0,781000;0,000097;0,195324;0,320000;66
NANUQUE ;MG;1,000000;5,000000;6,000000;9004;10;0,672000;0,001333;0,175811;0,220000;20
NAQUE ;MT;2,000000;1,000000;;8046;10;0,701000;0,000373;1,328486;2,540000;204
NARANDIBA ;RS;1,000000;1,000000;1,000000;8653;10;0,724000;0,000347;0,016410;0,040000;3
NATAL ;RN;48,000000;91,000000;84,000000;10301;10;0,609000;0,021648;0,091933;0,040000;4
NATALANDIA;BA;1,000000;1,000000;;4319;5;0,561000;0,000463;0,909933;3,370000;146
NATERCIA;CE;1,000000;1,000000;1,000000;8336;10;0,612000;0,000360;0,274352;0,130000;11
NATIVIDADE;PI;2,000000;4,000000;4,000000;10380;10;0,562000;0,000963;0,281407;0,060000;6
NATUBA;PR;1,000000;1,000000;;8543;10;0,774000;0,000234;0,085918;0,440000;38
NAVEGANTES;AL;8,000000;7,000000;6,000000;4547;5;0,642000;0,004618;0,167803;1,220000;55
NAVIRAI ;ES;5,000000;7,000000;5,000000;53495;15;0,710000;0,000318;0,038845;0,020000;11
NAZARE DA MATA;SC;1,000000;4,000000;3,000000;16920;10;0,743000;0,000473;0,238002;0,810000;137
NAZARE DO PIAUI ;PB;1,000000;1,000000;;19299;10;0,548000;0,000104;0,066791;0,010000;2
NAZARE PAULISTA ;MG;;1,000000;2,000000;1750;5;0,702000;0,001714;0,904571;10,280000;180
NAZARENO;PR;2,000000;2,000000;1,000000;21866;15;0,703000;0,000229;0,033568;0,010000;2
NAZAREZINHO ;PR;1,000000;1,000000;;14056;10;0,735000;0,000142;0,052220;0,160000;22
NAZARIA ;MG;1,000000;1,000000;;5634;10;0,742000;0,000355;0,280973;0,950000;54
