MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
CONQUISTA ;PE;1,000000;1,000000;2,000000;8703;10;0,604000;0,000460;0,701252;0,300000;26
CONQUISTA D'OESTE ;AL;1,000000;1,000000;;13556;10;0,599000;0,000148;0,056285;0,020000;3
CONSELHEIRO MAIRINCK;MG;2,000000;1,000000;;7311;10;0,664000;0,000410;0,216523;0,240000;18
CONSELHEIRO PENA;RS;3,000000;6,000000;2,000000;3186;5;0,655000;0,003453;0,044570;0,360000;11
CONSTANTINA ;TO;1,000000;2,000000;3,000000;5699;10;0,757000;0,001053;0,083874;0,350000;20
CONTAGEM;TO;61,000000;95,000000;44,000000;9239;10;0,620000;0,021647;0,051737;0,030000;3
CONTENDA;MG;4,000000;5,000000;2,000000;3331;5;0,619000;0,003302;0,475233;2,880000;96
CONTENDAS DO SINCORA;MT;1,000000;1,000000;;1410;5;0,598000;0,001418;7,580851;38,650000;545
COQUEIRAL ;MG;1,000000;2,000000;1,000000;15345;10;0,688000;0,000261;0,103161;0,160000;25
COQUEIRO BAIXO;GO;1,000000;;;19453;10;0,635000;0,000051;0,187478;0,130000;25
COQUEIRO SECO ;SC;2,000000;2,000000;;13953;10;0,742000;0,000287;0,288612;0,970000;135
COQUEIROS DO SUL;MS;3,000000;;;10486;10;0,704000;0,000286;0,126740;0,250000;26
CORACAO DE JESUS;MA;2,000000;4,000000;1,000000;3006;5;0,754000;0,002329;0,399534;6,490000;195
CORACAO DE MARIA;SC;1,000000;2,000000;1,000000;25865;15;0,604000;0,000155;0,155693;0,010000;3
CORBELIA;SP;2,000000;4,000000;4,000000;80195;15;0,790000;0,000125;0,008392;0,020000;16
CORDEIROPOLIS ;RS;4,000000;5,000000;4,000000;17367;10;0,747000;0,000749;0,008176;0,030000;5
CORDILHEIRA ALTA;SP;3,000000;1,000000;;3252;5;0,586000;0,001230;0,206950;0,950000;31
CORDISBURGO ;PA;2;2;;13091;10;0,729000;0,000306;0,141089;0,400000;52
COREMAS ;PR;2,000000;2,000000;;2671;5;0,732000;0,001498;0,274803;3,850000;103
CORGUINHO ;CE;2,000000;1,000000;;3719;5;0,740000;0,000807;0,614950;9,100000;338
CORIBE;CE;;1,000000;1,000000;19167;10;0,585000;0,000104;0,119320;0,040000;8
CORINTO ;BA;1,000000;4,000000;4,000000;13565;10;0,604000;0,000663;0,289716;0,120000;16
COROACI ;RO;1,000000;2,000000;1,000000;11200;10;0,706000;0,000357;0,695982;1,430000;160
COROADOS;RS;1,000000;3,000000;1,000000;6770;10;0,652000;0,000739;0,020975;0,020000;1
COROATA ;PR;2,000000;2,000000;3,000000;11472;10;0,616000;0,000610;0,063982;0,030000;3
COROMANDEL;BA;3,000000;5,000000;4,000000;5480;10;0,755000;0,002190;0,717153;2,880000;158
CORONEL BICACO;GO;1,000000;1,000000;2,000000;32576;15;0,718000;0,000123;0,111954;0,050000;16
CORONEL DOMINGOS SOARES ;MA;1,000000;;;12797;10;0,717000;0,000078;0,093850;0,220000;28
CORONEL FABRICIANO;BA;10,000000;9,000000;8,000000;14777;10;0,729000;0,001827;0,265954;0,750000;111
CORONEL FREITAS ;MG;3,000000;3,000000;1,000000;16583;10;0,601000;0,000422;0,095459;0,040000;7
CORONEL JOAO SA ;MG;2,000000;2,000000;;6799;10;0,719000;0,000588;0,232828;0,570000;39
CORONEL MACEDO;MG;2,000000;1,000000;;4719;5;0,698000;0,000636;0,335452;3,710000;175
CORONEL MARTINS ;MT;1,000000;;;4853;5;0,670000;0,000206;2,202555;19,820000;962
CORONEL PACHECO ;MG;1,000000;2,000000;;7514;10;0,699000;0,000399;0,210673;0,390000;29
CORONEL PILAR ;SP;2,000000;;;12245;10;0,709000;0,000163;0,054961;0,120000;15
CORONEL SAPUCAIA;PR;2,000000;1,000000;;28859;15;0,725000;0,000104;0,025434;0,010000;3
CORONEL VIVIDA;BA;6,000000;3,000000;3,000000;8757;10;0,694000;0,001370;0,448784;0,780000;68
CORONEL XAVIER CHAVES ;AM;2,000000;2,000000;;16450;10;0,613000;0,000243;0,011733;0,010000;2
CORREGO DANTA ;PI;2,000000;1,000000;;16549;10;0,586000;0,000181;0,176506;0,060000;10
CORREIA PINTO ;PI;3,000000;3,000000;2,000000;4899;5;0,780000;0,001633;0,596244;11,480000;562
CORRENTE;MT;;3,000000;4,000000;16821;10;0,498000;0,000416;0,635456;0,040000;7
CORRENTES ;GO;2,000000;2,000000;;6168;10;0,660000;0,000649;0,591278;0,620000;38
CORRENTINA;BA;1,000000;3,000000;4,000000;5681;10;0,657000;0,001408;0,691780;0,690000;39
CORUMBA ;MA;6,000000;9,000000;6,000000;18807;10;0,563000;0,001117;0,063859;0,010000;2
CORUMBATAI DO SUL ;PI;1,000000;;;7594;10;0,533000;0,000132;0,384646;0,050000;4
CORUMBIARA;PA;3;2;;10643;10;0,565000;0,000470;0,173541;0,040000;4
CORUPA;ES;4,000000;3,000000;2,000000;4032;5;0,602000;0,002232;0,515377;2,720000;110
CORURIPE;MT;1,000000;8,000000;4,000000;12131;10;0,746000;0,001072;0,881131;3,140000;381
COSMORAMA ;MA;;2,000000;2,000000;33649;15;0,757000;0,000119;0,035692;0,040000;13
COSTA RICA;GO;1,000000;3,000000;2,000000;2469;5;0,765000;0,002430;1,477116;25,800000;637
COTIA ;TO;24,000000;28,000000;20,000000;3360;5;0,701000;0,021429;0,142262;1,610000;54
COTIPORA;MT;1,000000;;1,000000;35851;15;0,671000;0,000056;0,298151;0,050000;18
COTRIGUACU;SP;5,000000;2,000000;;8141;10;0,611000;0,000860;0,082668;0,040000;3
COUTO DE MAGALHAES;PR;1,000000;1,000000;;39861;15;0,710000;0,000050;0,018414;0,010000;4
COXILHA ;PI;2,000000;;;6216;10;0,733000;0,000322;0,469916;1,400000;87
CRAIBAS ;AL;1,000000;2,000000;1,000000;6516;10;0,588000;0,000614;0,117096;0,040000;3
CRATEUS ;PR;1,000000;3,000000;5,000000;7661;10;0,517000;0,001175;0,095810;0,010000;1
CRAVINHOS ;RO;2,000000;4,000000;5,000000;3130;5;0,758000;0,003514;2,490415;41,550000;1301
CRAVOLANDIA ;MG;1,000000;2,000000;;24145;15;0,685000;0,000124;0,065562;0,010000;2
CRICIUMA;TO;39,000000;34,000000;26,000000;15544;10;0,583000;0,006369;0,030751;0,010000;2
CRISOLITA ;MG;1,000000;1,000000;;8841;10;0,697000;0,000226;0,179052;0,320000;28
CRISOPOLIS;RJ;1,000000;2,000000;1,000000;4861;5;0,697000;0,000823;2,054104;22,530000;1095
CRISSIUMAL;MG;3,000000;2,000000;3,000000;3120;5;0,685000;0,002564;0,507372;5,100000;159
CRISTAIS;MT;2,000000;4,000000;1,000000;8576;10;0,593000;0,000816;1,246385;0,450000;39
CRISTAIS PAULISTA ;PB;3,000000;1,000000;1,000000;6774;10;0,689000;0,000738;0,190286;0,310000;21
CRISTAL DO SUL;ES;1,000000;1,000000;;19007;10;0,691000;0,000105;0,109328;0,180000;34
CRISTALANDIA;MG;2,000000;1,000000;;10322;10;0,681000;0,000291;0,153362;0,220000;23
CRISTALANDIA DO PIAUI ;BA;1,000000;1,000000;;31273;15;0,685000;0,000064;0,125668;0,030000;9
CRISTALIA ;MG;1,000000;1,000000;;3946;5;0,634000;0,000507;0,401166;2,740000;108
CRISTALINA;MG;5,000000;6,000000;4,000000;22762;15;0,712000;0,000659;0,069546;0,030000;7
CRISTIANO OTONI ;MG;2,000000;2,000000;;28346;15;0,668000;0,000141;0,055846;0,010000;3
CRISTIANOPOLIS;RJ;2,000000;1,000000;;2813;5;0,676000;0,001066;3,549591;33,410000;940
CRISTINA;BA;2,000000;4,000000;1,000000;4578;5;0,712000;0,001529;0,858453;10,470000;479
CRISTINO CASTRO ;PI;2,000000;2,000000;;17165;10;0,640000;0,000233;0,170172;0,130000;22
CRIXAS;BA;1,000000;3,000000;4,000000;4807;5;0,670000;0,001664;0,817558;7,360000;354
CRIXAS DO TOCANTINS ;BA;1,000000;1,000000;;12806;10;0,611000;0,000156;0,306887;0,150000;19
CRUCILANDIA ;MG;1,000000;1,000000;;16400;10;0,634000;0,000122;0,096524;0,070000;11
CRUZ;MG;2,000000;2,000000;;17503;10;0,700000;0,000229;0,090442;0,170000;30
CRUZ ALTA ;TO;10,000000;19,000000;8,000000;5533;10;0,665000;0,006687;0,086391;0,100000;6
CRUZ DAS ALMAS;MG;1,000000;4,000000;5,000000;13684;10;0,592000;0,000731;0,115683;0,040000;5
CRUZ DO ESPIRITO SANTO;SP;1,000000;1,000000;;4087;5;0,703000;0,000489;0,164668;1,880000;77
CRUZ MACHADO;SP;3,000000;2,000000;3,000000;11748;10;0,708000;0,000681;0,057286;0,120000;14
CRUZALIA;SC;;;1,000000;28273;15;0,736000;0,000035;0,142433;0,100000;28
CRUZALTENSE ;PA;3;;;18019;10;0,800000;0,000166;0,102503;0,730000;132
CRUZEIRO DO IGUACU;PB;3,000000;1,000000;;6658;10;0,602000;0,000601;0,193602;0,080000;5
CRUZEIRO DO SUL ;BA;5,000000;21,000000;8,000000;25010;15;0,618000;0,001359;0,157137;0,010000;3
CRUZILIA;MG;1,000000;3,000000;4,000000;17178;10;0,747000;0,000466;0,092153;0,330000;57
CRUZMALTINA ;MG;2,000000;1,000000;;6759;10;0,621000;0,000444;0,234206;0,130000;9
CUBATAO ;MT;19,000000;15,000000;9,000000;7686;10;0,747000;0,005595;1,390710;5,020000;386
CUBATI;PB;1,000000;1,000000;;6800;10;0,668000;0,000294;0,189559;0,220000;15
CUITE ;MG;;2,000000;2,000000;4787;5;0,712000;0,000836;0,330687;4,030000;193
CUITE DE MAMANGUAPE ;MG;1,000000;1,000000;;12082;10;0,753000;0,000166;0,131021;0,510000;62
CUJUBIM ;MG;2,000000;3,000000;1,000000;5046;10;0,668000;0,001189;0,313714;0,370000;19
CUMARI;MT;1,000000;1,000000;;8857;10;0,729000;0,000226;1,206842;3,410000;302
CUMARU;MG;2,000000;2,000000;;6969;10;0,718000;0,000574;0,227149;0,550000;38
CUMARU DO NORTE ;PR;1,000000;1,000000;1,000000;4101;5;0,761000;0,000732;0,178981;3,050000;125
CUNHA PORA;MG;4,000000;4,000000;2,000000;3876;5;0,662000;0,002580;0,408411;3,460000;134
CUPARAQUE ;MG;2,000000;2,000000;;1784;5;0,754000;0,002242;0,887332;14,420000;257
CUPIRA;PR;1,000000;1,000000;1,000000;9907;10;0,756000;0,000303;0,074089;0,300000;30
CURIMATA;MG;1,000000;2,000000;1,000000;18837;10;0,577000;0,000212;0,084037;0,020000;4
CURIONOPOLIS;RS;;3,000000;3,000000;4045;5;0,694000;0,001483;0,035105;0,380000;15
CURITIBA;AL;259,000000;353,000000;347,000000;9128;10;0,692000;0,105061;0,083589;0,140000;13
CURITIBANOS ;RS;3,000000;6,000000;5,000000;1495;5;0,586000;0,009365;0,094983;0,440000;7
CURIUVA ;MG;4,000000;4,000000;;5864;10;0,746000;0,001364;0,269952;0,960000;56
CURRAIS NOVOS ;BA;1,000000;3,000000;4,000000;2286;5;0,642000;0,003500;1,719160;12,500000;286
CURRAL DE DENTRO;RJ;1,000000;1,000000;;22495;15;0,738000;0,000089;0,443876;0,310000;70
CURRALINHO;SP;1,000000;1,000000;1,000000;17117;10;0,729000;0,000175;0,039318;0,110000;19
CURUA ;BA;1,000000;1,000000;1,000000;22041;15;0,758000;0,000136;0,178304;0,190000;42
CURURUPU;MG;;4,000000;2,000000;8642;10;0,747000;0,000694;0,183175;0,660000;57
CURVELANDIA ;MG;2,000000;1,000000;;4520;5;0,656000;0,000664;0,350221;2,840000;128
CURVELO ;CE;7,000000;10,000000;5,000000;8897;10;0,660000;0,002473;0,257053;0,270000;24
CUSTODIA;PB;1,000000;3,000000;2,000000;3542;5;0,610000;0,001694;0,363919;2,050000;73
DAMIANOPOLIS;BA;1,000000;1,000000;;15441;10;0,671000;0,000130;0,254517;0,310000;48
DARCINOPOLIS;MG;1,000000;1,000000;;6054;10;0,600000;0,000330;0,261480;0,110000;7
DARIO MEIRA ;PR;;1,000000;1,000000;14149;10;0,680000;0,000141;0,051876;0,070000;10
DATAS ;MG;;;1,000000;23668;15;0,759000;0,000042;0,066884;0,070000;17
DAVINOPOLIS ;MA;3,000000;4,000000;;9943;10;0,719000;0,000704;0,120788;0,300000;30
DELFIM MOREIRA;MG;1,000000;1,000000;1,000000;6129;10;0,576000;0,000489;0,258280;0,070000;4
DELTA ;PR;2,000000;1,000000;;2520;5;0,665000;0,001190;0,291270;2,530000;64
DEMERVAL LOBAO;RN;2,000000;2,000000;;7268;10;0,600000;0,000550;0,130297;0,050000;4
DENISE;MG;2,000000;2,000000;1,000000;7518;10;0,587000;0,000665;0,210561;0,070000;5
DEODAPOLIS;SC;1,000000;2,000000;2,000000;5504;10;0,755000;0,000908;0,731650;2,940000;162
DERRUBADAS;BA;2,000000;;1,000000;9940;10;0,578000;0,000302;0,395372;0,110000;11
DESCALVADO;PI;1,000000;3,000000;5,000000;4915;5;0,535000;0,001831;0,594303;1,740000;86
DESCANSO;SP;4,000000;2,000000;1,000000;15717;10;0,546000;0,000445;0,042820;0,010000;2
DESCOBERTO;SC;2,000000;2,000000;;4685;5;0,690000;0,000854;0,859552;8,960000;420
DESTERRO;MG;1,000000;1,000000;;4635;5;0,696000;0,000431;0,341532;3,720000;172
DESTERRO DE ENTRE RIOS;MG;1,000000;1,000000;1,000000;2555;5;0,627000;0,001174;0,619569;4,000000;102
DESTERRO DO MELO;RS;1,000000;1,000000;;9215;10;0,669000;0,000217;0,015410;0,020000;2
DEZESSEIS DE NOVEMBRO ;MS;3,000000;;;3090;5;0,727000;0,000971;0,430097;5,820000;180
DIADEMA ;PR;38,000000;45,000000;37,000000;1614;5;0,589000;0,074349;0,454771;2,150000;35
DIAMANTE;MG;1,000000;1,000000;;15352;10;0,723000;0,000130;0,103114;0,270000;41
DIAMANTE DO NORTE ;MG;2,000000;1,000000;1,000000;3441;5;0,692000;0,001162;0,460041;4,870000;168
DIAMANTE DO SUL ;GO;2,000000;1,000000;;3191;5;0,692000;0,000940;1,142902;12,090000;386
DIAMANTE D'OESTE;GO;3,000000;1,000000;;3191;5;0,692000;0,001254;1,142902;12,090000;386
DIAMANTINA;MG;4,000000;12,000000;6,000000;3694;5;0,686000;0,005956;0,428533;4,340000;160
DIAMANTINO;MG;3,000000;3,000000;3,000000;2290;5;0,678000;0,003930;0,691266;6,600000;151
DIANOPOLIS;SC;2,000000;3,000000;3,000000;6382;10;0,632000;0,001254;0,630993;0,430000;27
DIAS D'AVILA;PI;2,000000;11,000000;5,000000;2728;5;0,702000;0,006598;1,070748;12,170000;332
DILERMANDO DE AGUIAR;PE;;;1,000000;12553;10;0,642000;0,000080;0,486179;0,390000;49
DIONISIO CERQUEIRA;PE;2,000000;4,000000;2,000000;18268;10;0,603000;0,000438;0,334081;0,140000;26
DIRCEU ARCOVERDE;GO;1,000000;1,000000;;12560;10;0,700000;0,000159;0,290366;0,550000;69
DIVINO;SP;3,000000;4,000000;3,000000;11169;10;0,698000;0,000895;0,060256;0,110000;12
DIVINO DAS LARANJEIRAS;PR;2,000000;3,000000;;9869;10;0,754000;0,000507;0,074374;0,290000;29
DIVINO DE SAO LOURENCO;RO;1,000000;1,000000;1,000000;4064;5;0,638000;0,000738;1,918061;13,520000;549
DIVINOLANDIA;SC;3,000000;3,000000;2,000000;3127;5;0,613000;0,002558;1,287816;7,430000;232
DIVINOLANDIA DE MINAS ;AL;2,000000;2,000000;;7220;10;0,780000;0,000554;0,105679;0,590000;43
DIVINOPOLIS ;SP;26,000000;26,000000;17,000000;16107;10;0,626000;0,004284;0,041783;0,030000;5
DIVINOPOLIS DE GOIAS;SP;1,000000;1,000000;;57294;15;0,769000;0,000035;0,011746;0,020000;11
DIVINOPOLIS DO TOCANTINS;RO;2,000000;1,000000;;73474;15;0,722000;0,000041;0,106092;0,050000;37
DIVISA ALEGRE ;MS;1,000000;1,000000;;7298;10;0,611000;0,000274;0,182105;0,090000;7
DIVISA NOVA ;BA;2,000000;3,000000;;18798;10;0,706000;0,000266;0,209065;0,430000;81
DOBRADA ;RS;2,000000;1,000000;;13769;10;0,780000;0,000218;0,010313;0,060000;8
DOIS CORREGOS ;MT;1,000000;4,000000;4,000000;253608;20;0,741000;0,000035;0,042148;0,010000;25
DOIS IRMAOS ;TO;2,000000;8,000000;6,000000;3838;5;0,601000;0,004169;0,124544;0,650000;25
DOIS IRMAOS DAS MISSOES ;MG;2,000000;;;20238;15;0,659000;0,000099;0,078219;0,010000;2
DOIS IRMAOS DO BURITI ;RS;1,000000;2,000000;1,000000;4423;5;0,605000;0,000904;0,032105;0,170000;8
DOIS IRMAOS DO TOCANTINS;MS;2,000000;1,000000;;5639;10;0,706000;0,000532;0,235680;0,480000;27
DOIS LAJEADOS ;PB;1,000000;2,000000;2,000000;2743;5;0,703000;0,001823;0,469923;5,380000;148
DOIS VIZINHOS ;CE;10,000000;5,000000;5,000000;1935;5;0,525000;0,010336;1,181912;3,140000;61
DOLCINOPOLIS;CE;;;1,000000;24309;15;0,644000;0,000041;0,094080;0,010000;2
DOM BASILIO ;BA;1,000000;2,000000;1,000000;133031;20;0,756000;0,000030;0,029542;0,010000;13
DOM CAVATI;MG;2,000000;1,000000;1,000000;5351;10;0,788000;0,000748;0,295833;1,820000;97
DOM FELICIANO ;MG;3,000000;2,000000;2,000000;21163;15;0,712000;0,000331;0,074800;0,030000;6
DOM INOCENCIO ;SP;1,000000;1,000000;;13357;10;0,692000;0,000150;0,050386;0,080000;11
DOM JOAQUIM ;RS;2,000000;1,000000;;12931;10;0,734000;0,000232;0,010981;0,030000;4
DOM MACEDO COSTA;RS;1,000000;1,000000;;8718;10;0,644000;0,000229;0,016288;0,010000;1
DOM PEDRITO ;TO;3,000000;6,000000;6,000000;8067;10;0,660000;0,001859;0,059254;0,060000;5
DOM PEDRO ;PI;;4,000000;2,000000;2844;5;0,673000;0,002110;1,027075;9,450000;269
DOM PEDRO DE ALCANTARA;MG;1,000000;;;7278;10;0,573000;0,000137;0,217505;0,060000;4
DOM SILVERIO;GO;1,000000;2,000000;1,000000;8323;10;0,583000;0,000481;0,438183;0,130000;11
DOMINGOS MARTINS;MG;6,000000;7,000000;4,000000;5982;10;0,699000;0,002842;0,264627;0,490000;29
DONA EMMA ;GO;3,000000;1,000000;;60210;15;0,695000;0,000066;0,060571;0,020000;12
DONA EUZEBIA;MG;2,000000;4,000000;1,000000;5156;10;0,688000;0,001358;0,307021;0,490000;25
DONA FRANCISCA;SE;1,000000;;1,000000;2964;5;0,668000;0,000675;15,524966;137,660000;4080
DONA INES ;PI;1,000000;1,000000;;10226;10;0,553000;0,000196;0,285644;0,050000;5
DORES DE CAMPOS ;BA;2,000000;5,000000;;18029;10;0,566000;0,000388;0,217982;0,050000;9
DORES DE GUANHAES ;GO;1,000000;1,000000;;10444;10;0,614000;0,000191;0,349196;0,180000;19
DORES DO INDAIA ;TO;;5,000000;3,000000;13947;10;0,708000;0,000574;0,034273;0,070000;10
DORES DO RIO PRETO;CE;2,000000;1,000000;1,000000;17044;10;0,644000;0,000235;0,134182;0,110000;19
DORES DO TURVO;GO;1,000000;1,000000;;1735;5;0,590000;0,001153;2,102017;10,020000;174
DORESOPOLIS ;MG;2,000000;;;18133;10;0,706000;0,000110;0,087299;0,180000;33
DORMENTES ;CE;2,000000;2,000000;;3472;5;0,651000;0,001152;0,658698;5,130000;178
DOURADINA ;RS;4,000000;4,000000;3,000000;5054;10;0,632000;0,002176;0,028097;0,020000;1
DOURADO ;BA;1,000000;1,000000;1,000000;24977;15;0,750000;0,000120;0,157345;0,140000;35
DOURADOQUARA;PB;2,000000;1,000000;;59922;15;0,699000;0,000050;0,021511;0,010000;6
DOUTOR CAMARGO;SP;2,000000;1,000000;1,000000;17461;10;0,664000;0,000229;0,038543;0,040000;7
DOUTOR MAURICIO CARDOSO ;RS;1,000000;1,000000;3,000000;18741;10;0,774000;0,000267;0,007577;0,040000;7
DOUTOR PEDRINHO ;SP;3,000000;1,000000;;2046;5;0,719000;0,001955;0,328935;4,210000;86
DOUTOR RICARDO;MG;2,000000;;;1799;5;0,788000;0,001112;0,879933;17,820000;321
DOUTOR ULYSSES;PR;1,000000;1,000000;;3639;5;0,709000;0,000550;0,201704;2,410000;88
DOVERLANDIA ;AC;;1,000000;1,000000;4240;5;0,717000;0,000472;0,056604;0,720000;31
DRACENA ;PR;4,000000;6,000000;6,000000;20947;15;0,664000;0,000764;0,035041;0,010000;2
DUARTINA;RS;1,000000;3,000000;3,000000;4449;5;0,713000;0,001573;0,031917;0,390000;17
DUAS BARRAS ;RN;;2,000000;2,000000;12402;10;0,723000;0,000323;0,076359;0,200000;25
DUERE ;PR;1,000000;1,000000;;7983;10;0,695000;0,000251;0,091945;0,160000;13
DUMONT;SP;3,000000;2,000000;;15474;10;0,666000;0,000323;0,043492;0,050000;8
DUQUE BACELAR ;PB;;1,000000;1,000000;2921;5;0,737000;0,000685;0,441287;6,400000;187
DURANDE ;PB;2,000000;4,000000;;7832;10;0,785000;0,000766;0,164581;0,970000;76
EDEALINA;RO;2,000000;1,000000;;6356;10;0,570000;0,000472;1,226400;0,300000;19
EDEIA ;GO;2,000000;2,000000;2,000000;6775;10;0,612000;0,000886;0,538303;0,260000;18
EIRUNEPE;PE;;2,000000;2,000000;26183;15;0,737000;0,000153;0,233090;0,160000;42
ELDORADO;PA;3;4;3;2837;5;0,572000;0,003525;0,651040;2,660000;75
ELDORADO DO SUL ;SE;3,000000;15,000000;3,000000;10192;10;0,550000;0,002060;4,514914;0,760000;77
ELDORADO DOS CARAJAS;SP;1,000000;2,000000;2,000000;13761;10;0,604000;0,000363;0,048906;0,020000;3
ELESBAO VELOSO;SC;1,000000;1,000000;1,000000;3998;5;0,684000;0,000750;1,007254;10,050000;402
ELIAS FAUSTO;SC;4,000000;4,000000;2,000000;21459;15;0,742000;0,000466;0,187660;0,140000;30
ELISEU MARTINS;MG;1,000000;1,000000;;11118;10;0,754000;0,000180;0,142382;0,560000;62
ELISIARIO ;PE;1,000000;1,000000;;1967;5;0,627000;0,001017;3,102694;20,040000;394
ELISIO MEDRADO;BA;1,000000;1,000000;;5005;10;0,592000;0,000400;0,785215;0,280000;14
EMBU DAS ARTES;PR;9,000000;24,000000;12,000000;11426;10;0,636000;0,003938;0,064239;0,050000;6
EMBU-GUACU;SC;4,000000;11,000000;6,000000;17846;10;0,823000;0,001177;0,225653;2,140000;382
ENCANTADO ;PI;3,000000;4,000000;5,000000;39893;15;0,656000;0,000301;0,073221;0,010000;4
ENCANTO ;RN;1,000000;1,000000;;15196;10;0,542000;0,000132;0,062319;0,010000;2
ENCRUZILHADA;PB;1,000000;2,000000;1,000000;4968;5;0,691000;0,000805;0,259461;2,730000;136
ENEAS MARQUES ;PI;3,000000;;1,000000;5218;10;0,585000;0,000767;0,559793;0,180000;9
ENGENHEIRO BELTRAO;PB;3,000000;3,000000;4,000000;7799;10;0,527000;0,001282;0,165278;0,020000;2
ENGENHEIRO CALDAS ;PA;1;2;1;5367;10;0,606000;0,000745;0,344140;0,150000;8
ENGENHEIRO COELHO ;PI;5,000000;3,000000;2,000000;2512;5;0,502000;0,003981;1,162818;2,470000;62
ENGENHEIRO PAULO DE FRONTIN ;PA;2;3;2;4459;5;0,578000;0,001570;0,414218;1,780000;79
ENGENHO VELHO ;MA;2,000000;1,000000;;14587;10;0,582000;0,000206;0,082334;0,020000;3
ENTRE FOLHAS;MT;;;1,000000;40584;15;0,612000;0,000025;0,263380;0,010000;4
ENTRE IJUIS ;MG;1,000000;1,000000;2,000000;32626;15;0,690000;0,000123;0,048520;0,010000;3
ENTRE RIOS;PE;4,000000;3,000000;3,000000;5241;10;0,713000;0,001908;1,164472;2,640000;138
ENTRE RIOS DO OESTE ;GO;1,000000;1,000000;1,000000;37375;15;0,628000;0,000080;0,097579;0,010000;4
ENTRE RIOS DO SUL ;PB;1,000000;;1,000000;6101;10;0,654000;0,000328;0,211277;0,200000;12
ENVIRA;GO;;1,000000;1,000000;3306;5;0,521000;0,000605;1,103146;2,820000;93
EPITACIOLANDIA;TO;;2,000000;1,000000;5370;10;0,697000;0,000559;0,089013;0,160000;9
EQUADOR ;BA;1,000000;1,000000;;2953;5;0,581000;0,000677;1,330850;5,870000;173
EREBANGO;MG;2,000000;;1,000000;6174;10;0,540000;0,000486;0,256398;0,040000;2
ERECHIM ;RS;21,000000;22,000000;13,000000;10525;10;0,616000;0,005321;0,013492;0,010000;1
ERERE ;MA;1,000000;1,000000;;5421;10;0,762000;0,000369;0,221546;0,970000;53
ERICO CARDOSO ;GO;1,000000;1,000000;;4736;5;0,716000;0,000422;0,770059;9,660000;457
ERNESTINA ;MG;2,000000;;1,000000;2094;5;0,607000;0,001433;0,755969;4,150000;87
ERVAL GRANDE;MG;2,000000;;1,000000;12916;10;0,669000;0,000232;0,122561;0,150000;19
ERVAL SECO;AL;1,000000;1,000000;2,000000;8016;10;0,740000;0,000499;0,095185;0,310000;25
ERVAL VELHO ;MG;2,000000;1,000000;;7131;10;0,612000;0,000421;0,221989;0,110000;8
ESCADA;MT;;6,000000;5,000000;10768;10;0,618000;0,001022;0,992663;0,540000;58
ESMERALDA ;MS;1,000000;1,000000;2,000000;13840;10;0,683000;0,000289;0,096026;0,140000;19
ESMERALDAS;CE;;6,000000;3,000000;9544;10;0,694000;0,000943;0,239627;0,410000;39
ESPERA FELIZ;RS;2,000000;7,000000;3,000000;12984;10;0,609000;0,000924;0,010937;0,010000;1
ESPERANCA ;SP;2,000000;4,000000;3,000000;9662;10;0,707000;0,000931;0,069654;0,140000;14
ESPERANCA DO SUL;SC;3,000000;;;2761;5;0,760000;0,001087;1,458530;24,650000;681
ESPERANCA NOVA;MG;1,000000;;;33910;15;0,743000;0,000029;0,046682;0,040000;14
ESPERANTINA ;PB;2,000000;4,000000;4,000000;8192;10;0,680000;0,001221;0,157349;0,220000;18
ESPERANTINOPOLIS;MG;1,000000;4,000000;1,000000;5029;10;0,580000;0,001193;0,314774;0,090000;5
ESPIGAO ALTO DO IGUACU;MG;2,000000;1,000000;;8315;10;0,639000;0,000361;0,190379;0,140000;12
ESPIGAO D'OESTE ;RS;2,000000;3,000000;2,000000;7255;10;0,631000;0,000965;0,019573;0,010000;1
ESPINOSA;SP;2,000000;3,000000;3,000000;2884;5;0,654000;0,002774;0,233356;1,860000;54
ESPIRITO SANTO;PB;1,000000;1,000000;;2378;5;0,757000;0,000841;0,542052;8,980000;214
ESPIRITO SANTO DO PINHAL;PR;5,000000;6,000000;6,000000;6528;10;0,723000;0,002604;0,112439;0,290000;19
ESPIRITO SANTO DO TURVO ;PR;;1,000000;1,000000;5030;10;0,608000;0,000398;0,145924;0,070000;4
ESPLANADA ;MG;;5,000000;3,000000;3424;5;0,644000;0,002336;0,462325;3,410000;117
ESPUMOSO;MT;5,000000;2,000000;3,000000;5266;10;0,716000;0,001899;2,029814;4,790000;252
ESTANCIA;BA;2,000000;8,000000;6,000000;22178;15;0,701000;0,000721;0,177203;0,060000;13
ESTIVA;MG;1,000000;2,000000;2,000000;3002;5;0,601000;0,001666;0,527315;2,760000;83
ESTIVA GERBI;SC;4,000000;3,000000;1,000000;3790;5;0,702000;0,002111;1,062533;12,080000;458
ESTREITO;GO;;3,000000;4,000000;7609;10;0,706000;0,000920;0,479301;0,980000;75
ESTRELA ;SP;4,000000;8,000000;4,000000;15545;10;0,729000;0,001029;0,043294;0,120000;19
ESTRELA DE ALAGOAS;SP;2,000000;2,000000;;15545;10;0,729000;0,000257;0,043294;0,120000;19
